run_epoch,run_number,git_hash,mode,peak_chunks_per_sec,peak_vertices_per_sec,theoretical_chunks_per_sec,theoretical_vertices_per_sec,rd128_elapsed_ms,rd128_chunks,query_qps,hw_threads
1776157548,2,a0e3d04_dirty,quick,4980.5826,5010432.0467,49805.8260,50104320.4669,548.1969,1908,674146.3578,10
1776157616,2,a0e3d04_dirty,quick,5323.0592,4861866.0162,53230.5919,48618660.1618,554.4126,1908,708168.1218,10
1776157653,3,a0e3d04_dirty,quick,4705.1463,4549688.6662,47051.4627,45496886.6624,542.5666,1908,687140.1211,10
1776158272,4,a0e3d04_dirty,quick,4213.7924,3526106.4041,42137.9235,35261064.0408,665.4958,1908,574950.7058,10
1776158288,5,a0e3d04_dirty,quick,3690.8690,3712988.9799,36908.6900,37129889.7988,687.5823,1908,554045.0772,10
1776158423,6,a0e3d04_dirty,quick,3979.8526,3231015.2979,39798.5265,32310152.9789,654.4332,1908,591516.1282,10
1776231288,7,b1aa64d_dirty,quick,2716.7663,2967991.5023,65202.3920,71231796.0564,1965.7067,1908,796908.1783,24
1776231328,8,b1aa64d_dirty,quick,3767.5062,4154139.2025,90420.1496,99699340.8612,793.3663,1908,885960.7516,24
1776232106,9,b1aa64d_dirty,quick,3442.7517,3691592.9717,82626.0403,88598231.3220,975.9353,1908,822904.0883,24
1776232222,10,b1aa64d_dirty,quick,3521.2571,3691831.2933,84510.1714,88603951.0382,934.8013,1908,826238.4069,24
1776232482,11,b1aa64d_dirty,quick,3526.6612,3678225.0550,84639.8683,88277401.3205,1071.2652,1908,815466.4086,24
1776232545,12,b1aa64d_dirty,quick,3450.4293,3739592.5800,82810.3041,89750221.9210,1076.7147,1908,815892.9930,24
1776232585,13,b1aa64d_dirty,quick,3442.8070,3648047.3505,82627.3682,87553136.4115,1005.8157,1908,813277.5600,24
1776233964,14,95dc287_dirty,quick,3534.9639,3763093.0377,84839.1342,90314232.9057,9525.3589,1908,798248.8684,24
1776234063,15,95dc287_dirty,quick,3542.1139,3747883.9273,85010.7341,89949214.2560,5615.2406,1908,809597.5448,24
1776234101,16,95dc287_dirty,quick,3517.2420,3716978.5353,84413.8070,89207484.8468,2755.4597,1908,823155.9223,24
1776235142,17,95dc287_dirty,quick,3238.0393,3377492.0954,77712.9425,81059810.2892,3741.8931,1908,811177.1818,24
1776235172,18,95dc287_dirty,quick,3200.3040,3378932.9506,76807.2957,81094390.8149,3644.0988,1908,815473.4336,24
1776236243,19,8c4014c_dirty,quick,3287.0741,3479122.6784,78889.7786,83498944.2814,3465.9932,1908,818901.4184,24
